team,player_name,player_id,role,status
ARI,James Conner,00-0033553,RB1,active
ARI,Bam Knight,00-0037157,RB2,active
ATL,Bijan Robinson,00-0038542,RB1,active
ATL,Brian Robinson,00-0037746,RB2,active
BAL,Derrick Henry,00-0032764,RB1,active
BAL,Justice Hill,00-0034975,RB2,active
BUF,James Cook,00-0037248,RB1,active
BUF,Ray Davis,00-0039875,RB2,active
CAR,Chuba Hubbard,00-0036555,RB1,active
CAR,AJ Dillon,00-0036265,RB2,active
CHI,D'Andre Swift,00-0036275,RB1,active
CHI,Kyle Monangai,00-0040236,RB2,active
CIN,Chase Brown,00-0038597,RB1,active
CIN,Samaje Perine,00-0033526,RB2,active
CLE,Quinshon Judkins,00-0040784,RB1,active
CLE,Jaleel McLaughlin,00-0038794,RB2,active
DAL,Javonte Williams,00-0036997,RB1,active
DAL,Hunter Luepke,00-0038738,RB2,active
DEN,J.K. Dobbins,00-0036158,RB1,active
DEN,RJ Harvey,00-0040730,RB2,active
DET,Jahmyr Gibbs,00-0039139,RB1,active
DET,Isiah Pacheco,00-0037197,RB2,active
GB,Josh Jacobs,00-0035700,RB1,active
GB,Chris Brooks,00-0038685,RB2,active
HOU,David Montgomery,00-0035685,RB1,active
HOU,Woody Marks,00-0040583,RB2,active
IND,Jonathan Taylor,00-0036223,RB1,active
JAX,Chris Rodriguez Jr.,00-0038611,RB1,active
JAX,Ameer Abdullah,00-0032104,RB2,active
KC,Kenneth Walker III,00-0038134,RB1,active
KC,Brashard Smith,00-0040078,RB2,active
LA,Kyren Williams,00-0037840,RB1,active
LA,Blake Corum,00-0039738,RB2,active
LAC,Kimani Vidal,00-0039391,committee,active
LAC,Omarion Hampton,00-0040666,committee,active
LV,Ashton Jeanty,00-0040122,RB1,active
LV,Dare Ogunbowale,00-0033854,RB2,active
MIA,De'Von Achane,00-0039040,RB1,active
MIA,Jaylen Wright,00-0039874,RB2,active
MIN,Aaron Jones,00-0033293,RB1,active
MIN,Jordan Mason,00-0037525,RB2,active
NE,Rhamondre Stevenson,00-0036875,RB1,active
NE,TreVeyon Henderson,00-0040734,RB2,active
NO,Alvin Kamara,00-0033906,committee,active
NO,Travis Etienne,00-0036973,committee,active
NYG,Tyrone Tracy Jr.,00-0039384,RB1,active
NYG,Najee Harris,00-0036893,RB2,active
NYJ,Breece Hall,00-0038120,RB1,active
NYJ,Braelon Allen,00-0039794,RB2,active
PHI,Saquon Barkley,00-0034844,RB1,active
PHI,Tank Bigsby,00-0038555,RB2,active
PIT,Rico Dowdle,00-0036139,RB1,active
PIT,Jaylen Warren,00-0037228,RB2,active
SEA,Zach Charbonnet,00-0039165,committee,active
SEA,Emanuel Wilson,00-0038797,committee,active
SF,Christian McCaffrey,00-0033280,RB1,active
SF,Isaac Guerendo,00-0039363,RB2,active
TB,Bucky Irving,00-0039361,RB1,active
TB,Kenny Gainwell,00-0036919,RB2,active
TEN,Tony Pollard,00-0035261,RB1,active
TEN,Tyjae Spears,00-0039032,RB2,active
WAS,Rachaad White,00-0037256,RB1,active
WAS,Jacory Croskey-Merritt,00-0040242,RB2,active
