game_id,team,opponent
2026_01_NE_SEA,SEA,NE
2026_01_NE_SEA,NE,SEA
2026_01_SF_LA,LA,SF
2026_01_SF_LA,SF,LA
2026_01_CHI_CAR,CAR,CHI
2026_01_CHI_CAR,CHI,CAR
2026_01_TB_CIN,CIN,TB
2026_01_TB_CIN,TB,CIN
2026_01_NO_DET,DET,NO
2026_01_NO_DET,NO,DET
2026_01_BUF_HOU,HOU,BUF
2026_01_BUF_HOU,BUF,HOU
2026_01_BAL_IND,IND,BAL
2026_01_BAL_IND,BAL,IND
2026_01_CLE_JAX,JAX,CLE
2026_01_CLE_JAX,CLE,JAX
2026_01_ATL_PIT,PIT,ATL
2026_01_ATL_PIT,ATL,PIT
2026_01_NYJ_TEN,TEN,NYJ
2026_01_NYJ_TEN,NYJ,TEN
2026_01_ARI_LAC,LAC,ARI
2026_01_ARI_LAC,ARI,LAC
2026_01_MIA_LV,LV,MIA
2026_01_MIA_LV,MIA,LV
2026_01_GB_MIN,MIN,GB
2026_01_GB_MIN,GB,MIN
2026_01_WAS_PHI,PHI,WAS
2026_01_WAS_PHI,WAS,PHI
2026_01_DAL_NYG,NYG,DAL
2026_01_DAL_NYG,DAL,NYG
2026_01_DEN_KC,KC,DEN
2026_01_DEN_KC,DEN,KC
