game_id,team,spread,team_total
2026_01_NE_SEA,SEA,-3.0,23.8
2026_01_NE_SEA,NE,3.0,20.8
2026_01_SF_LA,LA,-3.5,25.5
2026_01_SF_LA,SF,3.5,22.0
2026_01_CHI_CAR,CAR,3.0,22.2
2026_01_CHI_CAR,CHI,-3.0,25.2
2026_01_TB_CIN,CIN,-3.5,27.0
2026_01_TB_CIN,TB,3.5,23.5
2026_01_NO_DET,DET,-7.0,28.2
2026_01_NO_DET,NO,7.0,21.2
2026_01_BUF_HOU,HOU,1.5,21.5
2026_01_BUF_HOU,BUF,-1.5,23.0
2026_01_BAL_IND,IND,3.5,22.0
2026_01_BAL_IND,BAL,-3.5,25.5
2026_01_CLE_JAX,JAX,-8.5,24.0
2026_01_CLE_JAX,CLE,8.5,15.5
2026_01_ATL_PIT,PIT,-6.0,23.2
2026_01_ATL_PIT,ATL,6.0,17.2
2026_01_NYJ_TEN,TEN,-1.5,20.0
2026_01_NYJ_TEN,NYJ,1.5,18.5
2026_01_ARI_LAC,LAC,-9.5,28.5
2026_01_ARI_LAC,ARI,9.5,19.0
2026_01_MIA_LV,LV,-3.0,21.8
2026_01_MIA_LV,MIA,3.0,18.8
2026_01_GB_MIN,MIN,-2.5,24.5
2026_01_GB_MIN,GB,2.5,22.0
2026_01_WAS_PHI,PHI,-6.0,25.2
2026_01_WAS_PHI,WAS,6.0,19.2
2026_01_DAL_NYG,NYG,3.0,22.8
2026_01_DAL_NYG,DAL,-3.0,25.8
2026_01_DEN_KC,KC,-2.5,23.0
2026_01_DEN_KC,DEN,2.5,20.5
